city,aqi,observed_at_utc,lat,lon,station_name,dominentpol,pm25,pm10,o3,no2,so2,co,nh3,aqi_category,aqi_range
Perth,5,2025-09-08 18:00:00+00:00,-31.8757651,115.9660496,Caversham,pm10,4,5,28.0,1.2,,,,Good,0-50
Sydney,34,2025-09-08 19:00:00+00:00,-33.872468,151.213337,Cook And Phillip Sydney East,pm25,34,17,5.1,22.4,,2.8,,Good,0-50
Melbourne,19,2025-09-08 20:00:00+00:00,-37.8073959,144.97,Melbourne CBD,pm25,19,11,8.0,3.8,0.8,1.5,,Good,0-50
Brisbane,16,2025-09-08 20:00:00+00:00,-27.4774,153.0281,Brisbane CBD,pm25,16,9,,,,,,Good,0-50
Adelaide,7,2025-09-08 19:00:00+00:00,-35.3778,140.5378,SA Murray Darling Basin Lameroo,pm25,7,5,,,,,,Good,0-50
Perth,4,2025-09-08 20:00:00+00:00,-31.8757651,115.9660496,Caversham,pm10,3,4,18.0,8.9,,,,Good,0-50
Sydney,34,2025-09-08 21:00:00+00:00,-33.872468,151.213337,Cook And Phillip Sydney East,pm25,34,16,2.3,25.4,,2.9,,Good,0-50
Melbourne,11,2025-09-08 21:00:00+00:00,-37.8073959,144.97,Melbourne CBD,pm25,11,11,8.0,3.8,0.8,1.5,,Good,0-50
Brisbane,17,2025-09-08 21:00:00+00:00,-27.4774,153.0281,Brisbane CBD,pm25,17,10,,,,,,Good,0-50
Adelaide,4,2025-09-08 20:00:00+00:00,-35.3778,140.5378,SA Murray Darling Basin Lameroo,pm25,4,1,,,,,,Good,0-50
Perth,5,2025-09-09 10:00:00+00:00,-31.8757651,115.9660496,Caversham,pm10,3,5,16.0,1.2,,,,Good,0-50
Sydney,19,2025-09-09 11:00:00+00:00,-33.872468,151.213337,Cook And Phillip Sydney East,pm25,19,9,14.7,7.8,,1.5,,Good,0-50
Melbourne,35,2025-09-09 12:00:00+00:00,-37.8073959,144.97,Melbourne CBD,pm25,35,11,8.0,3.8,0.8,1.5,,Good,0-50
Brisbane,26,2025-09-09 11:00:00+00:00,-27.4774,153.0281,Brisbane CBD,pm25,26,15,,,,,,Good,0-50
Adelaide,4,2025-09-09 11:00:00+00:00,-35.3778,140.5378,SA Murray Darling Basin Lameroo,pm25,4,3,,,,,,Good,0-50
Brisbane,28,2025-09-09 12:00:00+00:00,-27.4774,153.0281,Brisbane CBD,pm25,28,14,,,,,,Good,0-50
Perth,5,2025-09-09 21:00:00+00:00,-31.8757651,115.9660496,Caversham,pm25,5,5,21.0,5.6,,,,Good,0-50
Sydney,27,2025-09-09 22:00:00+00:00,-33.872468,151.213337,Cook And Phillip Sydney East,pm25,27,11,1.5,18.8,,4.7,,Good,0-50
Melbourne,32,2025-09-09 22:00:00+00:00,-37.8073959,144.97,Melbourne CBD,pm25,32,11,8.0,3.8,0.8,1.5,,Good,0-50
Brisbane,24,2025-09-09 23:00:00+00:00,-27.4774,153.0281,Brisbane CBD,pm25,24,15,,,,,,Good,0-50
Adelaide,1,2025-09-09 22:00:00+00:00,-35.3778,140.5378,SA Murray Darling Basin Lameroo,pm10,10,1,,,,,,Good,0-50
Perth,1,2025-09-10 10:00:00+00:00,-31.8757651,115.9660496,Caversham,pm10,3,1,26.0,7.8,,,,Good,0-50
Sydney,17,2025-09-10 12:00:00+00:00,-33.872468,151.213337,Cook And Phillip Sydney East,o3,5,6,17.1,4.1,,3.1,,Good,0-50
Melbourne,18,2025-09-10 13:00:00+00:00,-37.8073959,144.97,Melbourne CBD,pm25,18,11,8.0,3.8,0.8,1.5,,Good,0-50
Brisbane,38,2025-09-10 13:00:00+00:00,-27.4774,153.0281,Brisbane CBD,pm25,38,16,,,,,,Good,0-50
Adelaide,3,2025-09-10 12:00:00+00:00,-34.0485,141.0633,Western LLS Lake Victoria,pm10,4,3,,,,,,Good,0-50
